model,year,transmission,mileage,fuel type,engine size,price
 A6,2019.0,Semi-Auto,8766.0,Diesel,3.0,28991.0
 C Class,2017.0,Semi-Auto,29000.0,37,2.0,23990.0
 Q3,2020.0,Semi-Auto,4432.0,Petrol,1.5,31990.0
 C Class,2020.0,Semi-Auto,9.0,Petrol,1.5,29980.0
 Q7,2020.0,Semi-Auto,6000.0,Diesel,3.0,62990.0
 Q7,2019.0,Automatic,12998.0,Diesel,3.0,43930.0
 Focus,2018.0,Manual,34207.0,Diesel,1.997,16495.0
 C Class,2016.0,Semi-Auto,24137.0,Petrol,2.0,19999.0
 Focus,2013.0,Manual,42575.0,14,0.998,5889.0
 A3,2019.0,Semi-Auto,14246.0,Petrol,1.5,21990.0
 Focus,2018.0,Automatic,12315.0,Petrol,1.0,15299.0
 C Class,2017.0,Automatic,46294.0,32,2.1,18795.0
 Q2,2019.0,Manual,2891.0,Petrol,1.0,23496.0
 C Class,2002.0,Automatic,82700.0,30,2.685,1295.0
 Q3,2018.0,Manual,22900.0,Petrol,1.4,21490.0
 C Class,2017.0,Automatic,24700.0,Petrol,3.0,31999.0
 A8,2016.0,Semi-Auto,39000.0,Diesel,4.2,23995.0
 Focus,2019.0,Manual,7088.0,Petrol,1.0,17280.0
 Focus,2017.0,Manual,3640.0,Petrol,1.0,12750.0
 A4,2016.0,Manual,36974.0,Diesel,2.0,13398.0
 Q5,2019.0,Semi-Auto,4293.0,Petrol,2.0,37966.0
 Q3,2017.0,Automatic,29110.0,Diesel,2.0,19499.0
 Q3,2016.0,Manual,25200.0,Diesel,2.0,16995.0
 Q5,2020.0,Semi-Auto,6500.0,Diesel,2.0,36500.0
 TT,2017.0,Manual,40008.0,Diesel,2.0,16998.0
 Focus,2017.0,Manual,29000.0,Diesel,1.499,10490.0
 Focus,2019.0,Automatic,9439.0,Diesel,1.5,19390.0
 Focus,2019.0,Manual,12556.0,Petrol,1.0,15295.0
 A5,2019.0,Semi-Auto,17912.0,Petrol,2.0,24975.0
 C Class,2019.0,Semi-Auto,14874.0,Diesel,2.0,25549.0
 Q3,2017.0,Semi-Auto,28450.0,Petrol,1.4,20950.0
 A5,2014.0,Manual,82000.0,Diesel,2.0,9995.0
 C Class,2018.0,Semi-Auto,15998.0,Diesel,2.1,17999.0
 Focus,2017.0,Manual,32746.0,Diesel,1.5,11750.0
 A6,2019.0,Semi-Auto,19118.0,Diesel,2.0,25998.0
 A4,2016.0,Manual,26898.0,Diesel,2.0,16490.0
 Focus,2019.0,Automatic,7725.0,Petrol,1.5,18998.0
 Q3,2015.0,Manual,31554.0,Petrol,2.0,16995.0
 A1,2019.0,Automatic,7000.0,Petrol,1.0,20026.0
